n_missing,method,confidence,n_sampling,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
0,optimal,1.0,0,True,True,0.7041204632603556,1.0,0.015756845474243164,0.5007534764302779,1.0,1
2,armin,0.75,100,True,True,0.7766112585449282,1.1029522632376165,0.06772994995117188,0.5085216289051384,1.0,1
2,armin,0.75,200,True,True,0.7890580800645296,1.1206293826639824,0.10765385627746582,0.5104372718614161,1.0,1
2,armin,0.75,300,True,True,0.7766112585449282,1.1029522632376165,0.21750402450561523,0.5085216289051384,1.0,1
2,armin,0.75,400,True,True,0.7766112585449282,1.1029522632376165,0.2903320789337158,0.5085216289051384,1.0,1
2,armin,0.75,500,True,True,0.7766112585449282,1.1029522632376165,0.5185840129852295,0.5085216289051384,1.0,1
0,optimal,1.0,0,True,True,0.11558814263982968,1.0,0.00886392593383789,0.5012799379768242,1.0,1
2,armin,0.75,100,True,True,0.1595302560823051,1.3801610826068738,0.05677485466003418,0.5068706434125125,0.5,1
2,armin,0.75,200,True,True,0.1595302560823051,1.3801610826068738,0.09216094017028809,0.5068706434125125,0.5,1
2,armin,0.75,300,True,True,0.1595302560823051,1.3801610826068738,0.2234208583831787,0.5068706434125125,0.5,1
2,armin,0.75,400,True,True,0.1595302560823051,1.3801610826068738,0.27843594551086426,0.5068706434125125,0.5,1
2,armin,0.75,500,True,True,0.1595302560823051,1.3801610826068738,0.269603967666626,0.5068706434125125,0.5,1
0,optimal,1.0,0,True,True,2.176538387288936,1.0,0.025287151336669922,0.5018768019368824,1.0,1
2,armin,0.75,100,True,True,2.5233287553671726,1.1593311517515634,0.08467793464660645,0.5341625935969876,1.0,1
2,armin,0.75,200,True,True,2.3649248277102233,1.0865532358728296,0.14381885528564453,0.5180946248158618,1.0,1
2,armin,0.75,300,True,True,2.430421151431915,1.116645203974193,0.24238801002502441,0.5238851594048521,1.0,1
2,armin,0.75,400,True,True,2.5233287553671726,1.1593311517515634,0.3717958927154541,0.5341625935969876,1.0,1
2,armin,0.75,500,True,True,2.273264530736303,1.0444403572260665,0.33827686309814453,0.5109590372530235,1.0,1
0,optimal,1.0,0,True,True,4.532895245081835,1.0,0.021834135055541992,0.5002874495717893,1.0,1
2,armin,0.75,100,True,False,4.303352921799317,0.9493607703527741,0.07503008842468262,0.47467825907473915,0.75,1
2,armin,0.75,200,True,False,4.2801994060745,0.9442528835667429,0.14653682708740234,0.47166874643818,0.75,1
2,armin,0.75,300,True,False,4.164426650168353,0.9187123074786985,0.20423102378845215,0.4570983527702759,0.75,1
2,armin,0.75,400,True,False,4.164426650168353,0.9187123074786985,0.3331410884857178,0.4570983527702759,0.75,1
2,armin,0.75,500,True,False,4.258464770913582,0.9394580153896104,0.4218740463256836,0.46866129181237226,0.75,1
0,optimal,1.0,0,True,True,2.160823637291156,1.0,0.020045995712280273,0.5017713907481886,1.0,1
2,armin,0.75,100,True,True,2.3868612185599947,1.1046071402440798,0.09638285636901855,0.5282831764465385,1.0,1
2,armin,0.75,200,True,True,2.1768048199701306,1.0073958755370749,0.094696044921875,0.5116299749940516,1.0,1
2,armin,0.75,300,True,True,2.38135062555323,1.1020569122145156,0.3325519561767578,0.5250056304977093,1.0,1
2,armin,0.75,400,True,True,2.2846064817636647,1.057285028882637,0.24280905723571777,0.5232428648367422,1.0,1
2,armin,0.75,500,True,True,2.2846064817636647,1.057285028882637,0.29752492904663086,0.5232428648367422,1.0,1
0,optimal,1.0,0,True,True,1.1354317471326085,1.0,0.01636195182800293,0.5012574163428796,1.0,1
2,armin,0.75,100,True,True,1.1517952351479703,1.0144116879386944,0.08234906196594238,0.503199619604608,1.0,1
2,armin,0.75,200,True,True,1.3320876922260774,1.1731992659092887,0.2369520664215088,0.5225808254011366,1.0,1
2,armin,0.75,300,True,True,1.3320876922260774,1.1731992659092887,0.23594188690185547,0.5225808254011366,1.0,1
2,armin,0.75,400,True,True,1.1517952351479703,1.0144116879386944,0.3374440670013428,0.503199619604608,1.0,1
2,armin,0.75,500,True,True,1.3600536433817065,1.1978295012591929,0.7639439105987549,0.5251444510027001,0.75,1
0,optimal,1.0,0,True,True,1.001430490947461,1.0,0.012519121170043945,0.5011134919560537,1.0,1
2,armin,0.75,100,True,False,0.8887051644789216,0.8874356957496979,0.042222023010253906,0.4894874876861516,0.5,1
2,armin,0.75,200,True,True,1.001430490947461,1.0,0.10149097442626953,0.5011134919560537,1.0,1
2,armin,0.75,300,True,True,1.056684117822452,1.0551746999661606,0.2208700180053711,0.5033389085684257,0.6666666666666666,1
2,armin,0.75,400,True,True,1.001430490947461,1.0,0.17869877815246582,0.5011134919560537,1.0,1
2,armin,0.75,500,True,False,0.9481035679728104,0.9467492517386827,0.2816808223724365,0.4927733331565405,0.5,1
0,optimal,1.0,0,True,True,1.9380191407306502,1.0,0.024044036865234375,0.5001682093721884,1.0,1
2,armin,0.75,100,True,True,1.9898524752942615,1.0267455225153606,0.07408690452575684,0.5057590898090287,1.0,1
2,armin,0.75,200,True,True,2.0162466144451647,1.0403646548532137,0.15758800506591797,0.508776653135339,1.0,1
2,armin,0.75,300,True,True,2.012479304811338,1.0384207578324616,0.24500393867492676,0.5062043113272774,1.0,1
2,armin,0.75,400,True,True,2.004042311531703,1.0340673471244262,0.31261301040649414,0.5061071347182586,0.75,1
2,armin,0.75,500,True,True,2.012479304811338,1.0384207578324616,0.6252062320709229,0.5062043113272774,1.0,1
0,optimal,1.0,0,True,True,1.5290818981096796,1.0,0.018062114715576172,0.5002242025376931,1.0,1
2,armin,0.75,100,True,True,1.5696073236835932,1.026503109888367,0.08324503898620605,0.5039962853553746,1.0,1
2,armin,0.75,200,True,True,1.5674445721144765,1.0250886980299894,0.14139604568481445,0.5037975408353547,1.0,1
2,armin,0.75,300,True,True,1.5674445721144765,1.0250886980299894,0.2534189224243164,0.5037975408353547,1.0,1
2,armin,0.75,400,True,True,1.5696073236835932,1.026503109888367,0.28417491912841797,0.5039962853553746,1.0,1
2,armin,0.75,500,True,True,1.5776020554796928,1.0317315622073586,0.47406792640686035,0.5050814485234911,1.0,1
0,optimal,1.0,0,True,True,1.8565238883860242,1.0,0.021016836166381836,0.5028300505550942,1.0,1
2,armin,0.75,100,True,True,1.9796476674367676,1.0663195231803786,0.07745003700256348,0.5111688864695643,1.0,1
2,armin,0.75,200,True,True,1.9401769044744084,1.0450589494763292,0.1624758243560791,0.5081751834751879,0.75,1
2,armin,0.75,300,True,True,1.9796476674367676,1.0663195231803786,0.30556607246398926,0.5111688864695643,1.0,1
2,armin,0.75,400,True,True,1.9827118466809988,1.067970015944517,0.3397819995880127,0.5101167754516853,0.75,1
2,armin,0.75,500,True,True,1.9796476674367676,1.0663195231803786,0.37373995780944824,0.5111688864695643,1.0,1
0,optimal,1.0,0,True,True,2.862656843823678,1.0,0.0251619815826416,0.5006361413307603,1.0,1
2,armin,0.75,100,True,True,3.2757159950161006,1.1442922340075856,0.07196903228759766,0.5596819799366812,1.0,1
2,armin,0.75,200,True,True,3.2757159950161006,1.1442922340075856,0.12138795852661133,0.5596819799366812,1.0,1
2,armin,0.75,300,True,True,3.2409533759950486,1.132148752997609,0.22041010856628418,0.5558493595855261,1.0,1
2,armin,0.75,400,True,True,3.375343250632495,1.1790946085329659,0.27809596061706543,0.5704107047733764,1.0,1
2,armin,0.75,500,True,True,3.3485368648772815,1.1697304453734696,0.3293149471282959,0.5679158061451446,1.0,1
0,optimal,1.0,0,True,True,0.8195919755804056,1.0,0.011516094207763672,0.506645011824514,1.0,1
2,armin,0.75,100,True,True,0.8195919755804056,1.0,0.05250215530395508,0.506645011824514,1.0,1
2,armin,0.75,200,True,True,0.8195919755804056,1.0,0.09935188293457031,0.506645011824514,1.0,1
2,armin,0.75,300,True,True,0.8195919755804056,1.0,0.17035794258117676,0.506645011824514,1.0,1
2,armin,0.75,400,True,True,0.8300658163399444,1.0127793354151882,0.26906585693359375,0.5064450246174623,0.75,1
2,armin,0.75,500,True,True,0.8195919755804056,1.0,0.2482900619506836,0.506645011824514,1.0,1
0,optimal,1.0,0,True,True,3.8171524780113306,1.0,0.01660609245300293,0.5000311614338463,1.0,1
2,armin,0.75,100,True,True,4.305926891907157,1.1280468665350434,0.0797269344329834,0.5669861223685024,0.75,1
2,armin,0.75,200,True,True,4.343548440480742,1.1379027863051607,0.17141389846801758,0.5744597600093045,0.75,1
2,armin,0.75,300,True,True,4.332164196685524,1.1349203946242425,0.28905797004699707,0.5707968469833526,0.75,1
2,armin,0.75,400,True,True,4.367902875444065,1.1442830488447413,0.29726195335388184,0.5764717933272001,1.0,1
2,armin,0.75,500,True,True,4.367902875444065,1.1442830488447413,0.3420419692993164,0.5764717933272001,1.0,1
0,optimal,1.0,0,True,True,2.299239887388314,1.0,0.015008926391601562,0.5022512700327667,1.0,1
2,armin,0.75,100,True,True,2.7046355115429432,1.1763172370044062,0.0661170482635498,0.5420878939381579,1.0,1
2,armin,0.75,200,True,True,2.5972294728333343,1.1296035211808646,0.12122607231140137,0.5337954535326646,1.0,1
2,armin,0.75,300,True,True,2.5972294728333343,1.1296035211808646,0.20104002952575684,0.5337954535326646,1.0,1
2,armin,0.75,400,True,True,2.6023807747466137,1.1318439580928785,0.2603130340576172,0.5370658286675782,1.0,1
2,armin,0.75,500,True,True,2.5972294728333343,1.1296035211808646,0.3078939914703369,0.5337954535326646,1.0,1
