n_missing,method,feasible,valid,cost,relative_cost,time,probability_target,sign_agreement,y_init
2,incomplete,True,False,0.9298865081281678,0.9083250940749922,0.31170010566711426,0.47886205,0.6666666666666666,1
3,incomplete,True,False,1.5154627265665783,1.4803234713520563,0.1268599033355713,0.4928162,0.6666666666666666,1
4,incomplete,True,False,0.6145108749562764,0.6002621216952115,0.10984992980957031,0.3663177,0.3333333333333333,1
0,complete,True,True,1.1585047796986245,1.1585047796986245,0.6839239597320557,0.5047183,1.0,1
1,incomplete,True,True,1.4738804128705159,1.272226441097579,0.3126060962677002,0.54969037,1.0,1
2,incomplete,True,False,0.24851580100884602,0.2145142647348381,0.06352496147155762,0.3206842,0.3333333333333333,1
3,incomplete,True,True,1.7857479945037171,1.5414247966834154,0.43140578269958496,0.53500855,0.5,1
4,incomplete,True,False,0.8204046340910057,0.7081581780822926,0.14285802841186523,0.40096116,0.3333333333333333,1
0,complete,True,True,0.1532867864728871,0.1532867864728871,0.04404187202453613,0.50211036,1.0,1
1,incomplete,True,False,0.033574360720898394,0.21902971217181152,0.05324602127075195,0.4787643,0.0,1
2,incomplete,True,False,0.0,0.0,0.02094292640686035,0.4533314,0.0,0
3,incomplete,True,False,0.0,0.0,0.023684978485107422,0.4533314,0.0,0
4,incomplete,True,False,0.06555606463751469,0.4276693780719974,0.026208877563476562,0.4533314,0.0,1
0,complete,True,True,1.1777555441320773,1.1777555441320773,0.4417719841003418,0.5243584,1.0,1
1,incomplete,True,True,4.175708088886523,3.5454794585269607,0.5459702014923096,0.61962414,0.5,1
2,incomplete,True,True,1.5745055699240111,1.3368695887433166,0.8005330562591553,0.56345683,0.5,1
3,incomplete,True,True,2.430496932982801,2.063668428556544,0.18840909004211426,0.62897736,0.5,1
4,incomplete,True,True,1.6629422485700749,1.4119587522685328,0.5374970436096191,0.50023437,0.5,1
0,complete,True,True,1.3456150189109595,1.3456150189109595,0.37557506561279297,0.5283082,1.0,1
1,incomplete,True,False,1.1434595060859079,0.8497671993965545,0.44902586936950684,0.38207495,0.0,1
2,incomplete,True,False,1.0022122801020132,0.7447986727386033,0.23883295059204102,0.4555927,0.5,1
3,incomplete,True,False,0.9994051361094687,0.7427125307491832,0.2205030918121338,0.3541218,0.0,1
4,incomplete,True,True,2.193900804930789,1.6304074895852223,0.5289781093597412,0.6150825,0.3333333333333333,1
0,complete,True,True,0.7244582198435984,0.7244582198435984,0.17620396614074707,0.5338245,1.0,1
1,incomplete,True,True,0.7244582198435984,1.0,0.22339200973510742,0.5338245,1.0,1
2,incomplete,True,True,1.4726240948460343,2.0327246685998754,0.37696003913879395,0.6603558,0.25,1
3,incomplete,True,False,0.0,0.0,0.02212810516357422,0.25889808,0.0,0
4,incomplete,True,True,0.7244582198435984,1.0,0.12687397003173828,0.5338245,1.0,1
0,complete,True,True,1.3676163827788401,1.3676163827788401,0.7912659645080566,0.5309929,1.0,1
1,incomplete,True,False,0.7504151134193963,0.5487029278595205,0.4000358581542969,0.4284143,0.75,1
2,incomplete,True,False,0.6784015226368569,0.496046648153207,0.31706690788269043,0.36344707,0.75,1
3,incomplete,True,True,2.716634237408805,1.9864007711642901,0.1962721347808838,0.61354196,0.5,1
4,incomplete,True,False,0.41034592838612555,0.300044613060535,0.10086512565612793,0.23020154,0.25,1
0,complete,True,True,0.8002589029485108,0.8002589029485108,0.239699125289917,0.5415739,1.0,1
1,incomplete,True,True,1.1383822415828742,1.4225174345309577,0.33055615425109863,0.5958084,0.6666666666666666,1
2,incomplete,True,False,0.3153756331718913,0.39409200198824007,0.05050206184387207,0.31472498,0.5,1
3,incomplete,True,False,0.3153756331718913,0.39409200198824007,0.03267192840576172,0.31472498,0.5,1
4,incomplete,True,True,1.1979843615583912,1.4969959811062175,0.15125703811645508,0.5958084,0.5,1
0,complete,True,True,2.6778105047833716,2.6778105047833716,0.7109370231628418,0.52978957,1.0,1
1,incomplete,True,False,2.0080568107921204,0.7498875694173017,0.16153192520141602,0.29438746,0.6666666666666666,1
2,incomplete,True,True,2.6778105047833716,1.0,0.19055390357971191,0.52978957,1.0,1
3,incomplete,True,True,2.6778105047833716,1.0,0.1470029354095459,0.52978957,1.0,1
4,incomplete,True,False,1.086507645499573,0.4057447842402384,0.09505510330200195,0.11596298,0.6666666666666666,1
0,complete,True,True,0.8395591695001545,0.8395591695001545,0.31782102584838867,0.5092533,1.0,1
1,incomplete,True,False,0.6673658072058918,0.7949002660565533,0.05957603454589844,0.4005111,0.5,1
2,incomplete,True,False,0.48488326977661944,0.5775450824571456,0.09254312515258789,0.45223695,0.5,1
3,incomplete,True,True,1.2154948890303183,1.4477775160909545,0.28281283378601074,0.67169684,0.5,1
4,incomplete,True,True,1.4616209396716375,1.740938569632725,0.08867788314819336,0.6426842,0.3333333333333333,1
